Course,Area,Topic,In_Level_1,In_Level_2,In_Level_3,In_Level_4,Reoccurs,Topic_Length,Topic_Frequency,Appears_Multiple_Levels,Cosine_Score
CeramicEngineering,Area4,"fund, administration, college, publication, level",0,0,0,0,0,5,1,0,0.0162564684777071
CeramicEngineering,Area4,"maintenance, proper, theater, renovation, research",0,0,0,0,0,5,1,0,0.0092080919321108
CeramicEngineering,Area5,"submit, commercialize, technology, income, generate",0,1,0,0,0,5,1,0,0.004112110213076
CeramicEngineering,Area5,"instruction, output, extension, development, utilized",0,0,0,0,0,5,1,0,0.0169477207315937
CeramicEngineering,Area5,"develop, passion, individual, team, culture",0,1,0,0,0,5,1,0,0.0027582281413993
CeramicEngineering,Area5,"content, conduct, process, teachinglearning, action",0,0,0,0,0,5,1,0,0.0096224696909995
CeramicEngineering,Area5,"faculty, member, college, encourage, research",0,1,0,0,0,5,1,0,0.0476921023045057
CeramicEngineering,Area5,"stakeholder, attend, meeting, agenda, faculty",0,0,1,0,0,5,3,0,0.0178224337653832
CeramicEngineering,Area5,"copyright, program, consider, survey, material",0,0,1,0,0,5,1,0,0.0276711738843295
CeramicEngineering,Area5,"researcher, student, various, encourage, research",0,0,1,0,0,5,1,0,0.0253132173621111
CeramicEngineering,Area6,"body, process, student, include, participate",0,0,0,0,0,5,1,0,0.0136468321085757
CeramicEngineering,Area6,"proof, report, evaluation, program, extension",0,1,0,0,0,5,1,0,0.020012539513024
CeramicEngineering,Area6,"planning, evaluation, monitoring, community, institution",0,1,0,0,0,5,2,0,0.014981270902984
CeramicEngineering,Area6,"community, evaluation, monitoring, institution, instrument",0,1,0,0,0,5,1,0,0.0140024733183221
CeramicEngineering,Area6,"faculty, member, different, activity, extension",0,0,1,0,0,5,2,0,0.037936259600836
CeramicEngineering,Area6,"different, disseminate, outlet, consider, medium",0,0,1,0,0,5,1,0,0.0093807164003695
CeramicEngineering,Area6,"national, number, college, linkage, tap",0,0,0,0,0,5,1,0,0.0101155842728317
CeramicEngineering,Area6,"ceramic, need, assessment, process, engineering",0,0,1,0,0,5,1,0,0.0082913019031272
CeramicEngineering,Area7,"approve, operation, service, access, library",0,0,0,0,0,5,1,0,0.0130721756187619
CeramicEngineering,Area7,"major, magazine, publication, journal, resource",0,0,0,0,0,5,1,0,0.0075207174983585
CeramicEngineering,Area7,"disseminates, accomplishment, prepare, newsletter, library",0,0,0,0,0,5,1,0,0.006892609829604
CeramicEngineering,Area7,"learn, install, conductive, air, electric",0,0,0,0,0,5,1,0,0.0027464422716643
CeramicEngineering,Area7,"widely, resource, acquisition, program, library",0,0,0,0,0,5,1,0,0.0197790137322316
CeramicEngineering,Area7,"plan, evaluate, development, formulate, policy",0,0,0,0,0,5,1,0,0.0137011797949576
CeramicEngineering,Area7,"specialization, support, mmsu, collection, library",0,0,0,0,0,5,1,0,0.0166499024076664
CeramicEngineering,Area7,"service, library, affected, area, need",0,0,1,0,0,5,1,0,0.0178079769877986
CeramicEngineering,Area7,"archival, wider, mean, copy, collection",0,0,0,0,0,5,1,0,0.006429197956059
CeramicEngineering,Area7,"continuous, community, acquisition, subject, instructional",0,0,1,0,0,5,1,0,0.0104571159382206
CeramicEngineering,Area8,"landscape, room, maintain, properly, comfort",0,1,0,0,0,5,1,0,0.0108476171493626
